grid_id,day_lst,night_lst,day_night_gap,centroid_lon,centroid_lat,dist_to_coast,elevation_mean,water_ratio,dist_to_major_river,avg_height,road_length,bldg_coverage_ratio,svf_mean,height_variance,ndvi,file_name,OID_,Shape_Leng,Shape_Area,MESH_KEYS,geometry_wkt
60,33.85276,23.039995,10.812765000000002,139.7905550504317,35.540857075069894,1033.707414,3.80557771,0.0,1262.796107,24.96666667,530.8895647,0.338550269,0.65491526,302.3933333,0.071117726,bldg_60.shp,0,800.0,40000.0,"53392643,53392653","POLYGON ((139.789466 35.539945, 139.789439 35.541747, 139.791644 35.54177, 139.791672 35.539967, 139.789466 35.539945))"
61,34.145777,23.436026,10.709751000000004,139.79276091589864,35.54087918043901,935.1072108,2.359459826,0.0,1369.13896,22.12857143,406.4941859,0.184176159,0.893979231,203.8357143,0.100930257,bldg_61.shp,0,800.0,40000.0,"53392643,53392653","POLYGON ((139.791672 35.539967, 139.791644 35.54177, 139.79385 35.541792, 139.793877 35.539989, 139.791672 35.539967))"
62,35.339961,23.96992,11.370041000000004,139.79496678376526,35.54090124547181,836.5070081,3.094153548,0.0,1475.481813,16.35,405.8266058,0.106656222,0.897055329,107.7966667,0.039843647,bldg_62.shp,0,800.0,40000.0,"53392643,53392653","POLYGON ((139.793877 35.539989, 139.79385 35.541792, 139.796056 35.541814, 139.796083 35.540011, 139.793877 35.539989))"
63,35.269856,24.305969,10.963886999999996,139.79717265402715,35.54092327016816,740.082298,3.665972621,0.0,1581.824666,,0.0,0.0,0.997666075,,0.037393389,bldg_63.shp,0,800.0,40000.0,"53392643,53392653","POLYGON ((139.796083 35.540011, 139.796056 35.541814, 139.798262 35.541836, 139.798289 35.540033, 139.796083 35.540011))"
64,34.870034,23.823053,11.046980999999995,139.79937852667993,35.5409452545279,640.9375913,3.307301948,0.0,1688.167518,,0.0,0.0,1.0,,0.047818678,bldg_64.shp,0,800.0,40000.0,"53392643,53392644,53392653,53392654","POLYGON ((139.798289 35.540033, 139.798262 35.541836, 139.800468 35.541858, 139.800495 35.540055, 139.798289 35.540033))"
65,34.872807,23.429175,11.443632000000001,139.80158440171923,35.540967198550916,467.3751602,3.654791217,0.0,1794.510371,,0.0,0.0,1.0,,0.147621783,bldg_65.shp,0,800.0,40000.0,"53392643,53392644,53392653,53392654","POLYGON ((139.800495 35.540055, 139.800468 35.541858, 139.802674 35.54188, 139.802701 35.540077, 139.800495 35.540055))"
66,35.38733,23.425363,11.961966999999998,139.80379027914069,35.54098910223704,293.0658097,5.981089538,0.0,1900.853224,,0.0,0.0,1.0,,0.12242552,bldg_66.shp,0,800.0,40000.0,"53392644,53392654","POLYGON ((139.802701 35.540077, 139.802674 35.54188, 139.80488 35.541902, 139.804907 35.540099, 139.802701 35.540077))"
67,33.279473,23.143835,10.135638000000004,139.82143738374373,35.5411628795818,197.5940106,14.63046908,0.0,2949.296873,,0.0,0.0,1.0,,0.244745958,bldg_67.shp,0,800.0,40000.0,"53392645,53392655","POLYGON ((139.820348 35.540251, 139.820321 35.542054, 139.822527 35.542075, 139.822554 35.540272, 139.820348 35.540251))"
68,31.355323,20.908949,10.446373999999999,139.70008759182247,35.54171888849682,5247.41653,1.743391389,0.0034445,159.5469065,2.9,0.0,0.00041577,0.999317387,0.5,0.281466661,bldg_68.shp,0,800.0,40000.0,"53392545,53392546,53392555,53392556","POLYGON ((139.698999 35.540806, 139.69897 35.542608, 139.701176 35.542632, 139.701205 35.540829, 139.698999 35.540806))"
69,31.974293,21.096978,10.877315,139.70229340446906,35.54174264910131,5095.354331,2.260570421,0.0,354.5637973,9.129166667,545.4442593,0.03553322,0.988366156,10.24041667,0.29926876,bldg_69.shp,0,800.0,40000.0,"53392546,53392556","POLYGON ((139.701205 35.540829, 139.701176 35.542632, 139.703382 35.542656, 139.703411 35.540853, 139.701205 35.540829))"
70,34.050989,21.637299,12.413690000000003,139.70449921969507,35.541766369372816,4927.456343,3.190201136,0.0,526.5151566,9.890410959,1232.996143,0.22491085,0.782198461,44.80615677,0.140798006,bldg_70.shp,0,800.0,40000.0,"53392546,53392556","POLYGON ((139.703411 35.540853, 139.703382 35.542656, 139.705588 35.54268, 139.705617 35.540877, 139.703411 35.540853))"
71,35.452833,21.819035,13.633797999999999,139.7067050374962,35.5417900493112,4762.039088,3.00589709,0.0,598.6996812,8.531553398,1479.414008,0.398337487,0.628744373,14.7123166,0.051992997,bldg_71.shp,0,800.0,40000.0,"53392546,53392556","POLYGON ((139.705617 35.540877, 139.705588 35.54268, 139.707793 35.542703, 139.707822 35.5409, 139.705617 35.540877))"
72,35.49248,21.85422,13.638259999999999,139.70891085786798,35.541813688916314,4596.647415,3.350907848,0.0,592.2109983,8.750675676,1334.048405,0.368697104,0.537517154,17.58401315,0.047301142,bldg_72.shp,0,800.0,40000.0,"53392546,53392556","POLYGON ((139.707822 35.5409, 139.707793 35.542703, 139.709999 35.542727, 139.710028 35.540924, 139.707822 35.5409))"
73,35.554731,21.737187,13.817543999999998,139.71111668080607,35.541837288188,4432.953701,2.596159272,0.0,574.5596509,7.899170124,1559.014544,0.357923278,0.613942529,6.748665975,0.069052152,bldg_73.shp,0,800.0,40000.0,"53392546,53392547,53392556,53392557","POLYGON ((139.710028 35.540924, 139.709999 35.542727, 139.712205 35.542751, 139.712234 35.540948, 139.710028 35.540924))"
74,34.331319,21.658733,12.672585999999999,139.7133225063061,35.5418608471261,4269.853585,2.595981876,0.0,516.6126129,8.849206349,834.9970056,0.299381414,0.556910201,64.98350742,0.090373348,bldg_74.shp,0,800.0,40000.0,"53392546,53392547,53392556,53392557","POLYGON ((139.712234 35.540948, 139.712205 35.542751, 139.714411 35.542774, 139.71444 35.540971, 139.712234 35.540948))"
